,case,num_malfunction,time_steps,runtime,done_percentage,reward
282,Test_28/Level_2,2098,1793,119.199,0.949,0.552
283,Test_28/Level_3,1424,1799,107.452,0.929,0.621
284,Test_28/Level_4,786,1351,82.305,1,0.711
285,Test_28/Level_5,507,1129,63.971,1,0.759
286,Test_28/Level_6,452,1197,66.428,1,0.75
287,Test_28/Level_7,361,1155,67.015,1,0.737
288,Test_28/Level_8,385,1364,80.603,1,0.748
289,Test_28/Level_9,339,1333,112.886,1,0.706
290,Test_29/Level_0,0,983,56.734,1,0.832
291,Test_29/Level_1,4560,1876,147.681,0.755,0.449
292,Test_29/Level_2,2073,1588,123.604,1,0.653
293,Test_29/Level_3,1426,1615,136.06,1,0.656
294,Test_29/Level_4,1243,1882,172.733,0.965,0.673
295,Test_29/Level_5,971,1870,159.81,0.939,0.681
296,Test_29/Level_6,745,1715,337.113,1,0.66
297,Test_29/Level_7,520,1440,97.18,1,0.723
298,Test_29/Level_8,495,1572,115.043,1,0.663
299,Test_29/Level_9,385,1350,108.016,1,0.741
300,Test_30/Level_0,0,1045,81.961,1,0.808
301,Test_30/Level_1,5290,1972,186.522,0.744,0.442
302,Test_30/Level_2,2838,1977,207.856,0.958,0.548
303,Test_30/Level_3,1712,1752,118.315,1,0.666
304,Test_30/Level_4,1411,1974,700.846,0.923,0.65
305,Test_30/Level_5,1102,1968,579.39,0.988,0.664
306,Test_30/Level_6,835,1727,151.566,1,0.688
307,Test_30/Level_7,647,1595,119.564,1,0.705
308,Test_30/Level_8,493,1414,103.892,1,0.749
309,Test_30/Level_9,621,1968,359.769,0.892,0.568
310,Test_31/Level_0,0,1513,160.059,1,0.781
311,Test_31/Level_1,6012,2052,198.481,0.797,0.436
312,Test_31/Level_2,3193,2049,188.045,0.982,0.592
313,Test_31/Level_3,2161,2049,181.396,0.95,0.6
314,Test_31/Level_4,1341,1691,146.635,1,0.712
315,Test_31/Level_5,1062,1721,158.26,1,0.698
316,Test_31/Level_6,852,1613,133.012,1,0.702
317,Test_31/Level_7,777,1747,225.63,1,0.651
318,Test_31/Level_8,606,1533,132.08,1,0.734
319,Test_31/Level_9,432,1254,129.982,1,0.75
320,Test_32/Level_0,0,2136,731.996,0.782,0.652
321,Test_32/Level_1,6813,2135,420.345,0.783,0.466
322,Test_32/Level_2,3645,2135,454.403,0.759,0.47
323,Test_32/Level_3,2295,1980,169.018,1,0.628
324,Test_32/Level_4,1730,2004,196.615,1,0.645
325,Test_32/Level_5,1323,1964,333.338,1,0.641
326,Test_32/Level_6,1105,1922,177.716,1,0.671
327,Test_32/Level_7,816,1701,227.809,1,0.707
328,Test_32/Level_8,677,1588,202.622,1,0.706
329,Test_32/Level_9,659,1744,196.466,1,0.714
330,Test_33/Level_0,0,1074,111.886,1,0.822
331,Test_33/Level_1,7573,2195,374.71,0.792,0.467
332,Test_33/Level_2,3970,2155,181.804,1,0.642
333,Test_33/Level_3,2809,2201,766.733,0.907,0.585
334,Test_33/Level_4,2100,2188,220.348,1,0.627
335,Test_33/Level_5,1481,1985,216.779,1,0.665
336,Test_33/Level_6,913,1501,145.406,1,0.729
337,Test_33/Level_7,765,1471,144.005,1,0.733
338,Test_33/Level_8,1052,2157,228.941,1,0.677
339,Test_33/Level_9,495,1216,122.543,1,0.773
340,Test_34/Level_0,0,2823,897.866,0.842,0.701
341,Test_34/Level_1,17231,2828,1074.735,0.816,0.473
342,Test_34/Level_2,9232,2826,1057.641,0.925,0.537
343,Test_34/Level_3,6338,2825,579.697,0.965,0.588
344,Test_34/Level_4,4844,2824,1037.45,0.931,0.568
345,Test_34/Level_5,2883,2136,508.754,1,0.704
346,Test_34/Level_6,3284,2825,989.295,0.734,0.562
347,Test_34/Level_7,2500,2561,780.128,1,0.66
348,Test_34/Level_8,2436,2793,943.413,1,0.659
349,Test_34/Level_9,2203,2825,950.273,0.883,0.656
350,Test_35/Level_0,0,3335,1146.427,0.733,0.633
351,Test_35/Level_1,29200,3339,1439.105,0.676,0.396
352,Test_35/Level_2,15677,3338,1407.598,0.967,0.529
